occurrenceID,eventID,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedDate,measurementDeterminatedBy,measurementMethod,measurementRemarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0293-01,CCCP:EXP.PACÍFICO:A05:2021:26:RB,SDBIOL04,Biomasa_500µm_peso_hum ,27.0979,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0297-01,CCCP:EXP.PACÍFICO:A04:2021:27:RB,SDBIOL04,Biomasa_500µm_peso_hum ,51.0476,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0301-01,CCCP:EXP.PACÍFICO:A03:2021:28:RB,SDBIOL04,Biomasa_500µm_peso_hum ,29.3138,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0305-01,CCCP:EXP.PACÍFICO:S02:2021:29:RB,SDBIOL04,Biomasa_500µm_peso_hum ,150.5567,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0308-01,CCCP:EXP.PACÍFICO:S01:2021:30:RB,SDBIOL04,Biomasa_500µm_peso_hum ,55.7906,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0311-01,CCCP:EXP.PACÍFICO:A02:2021:31:RB,SDBIOL04,Biomasa_500µm_peso_hum ,188.0637,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0314-01,CCCP:EXP.PACÍFICO:A01:2021:32:RB,SDBIOL04,Biomasa_500µm_peso_hum ,67.5804,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0317-01,CCCP:EXP.PACÍFICO:S02:2021:33:RB,SDBIOL04,Biomasa_500µm_peso_hum ,49.8313,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0320-01,CCCP:EXP.PACÍFICO:S01:2021:34:RB,SDBIOL04,Biomasa_500µm_peso_hum ,580.9613,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0323-01,CCCP:EXP.PACÍFICO:A02:2021:35:RB,SDBIOL04,Biomasa_500µm_peso_hum ,73.6513,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0326-01,CCCP:EXP.PACÍFICO:A01:2021:36:RB,SDBIOL04,Biomasa_500µm_peso_hum ,100.3146,"1,03 x10¯?",g.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0209-01,CCCP:EXP.PACÍFICO:S06:2021:01:RB,MSBDGVSC,Biomasa_300µm_peso_seco,76.5277,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0213-01,CCCP:EXP.PACÍFICO:S05:2021:02:RB,MSBDGVSC,Biomasa_300µm_peso_seco,27.2611,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0217-01,CCCP:EXP.PACÍFICO:S06:2021:03:RB,MSBDGVSC,Biomasa_300µm_peso_seco,49.4185,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0220-01,CCCP:EXP.PACÍFICO:S05:2021:04:RB,MSBDGVSC,Biomasa_300µm_peso_seco,114.6839,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0223-01,CCCP:EXP.PACÍFICO:S04:2021:05:RB,MSBDGVSC,Biomasa_300µm_peso_seco,233.0819,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0226-01,CCCP:EXP.PACÍFICO:S03:2021:06:RB,MSBDGVSC,Biomasa_300µm_peso_seco,83.6651,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0229-01,CCCP:EXP.PACÍFICO:S04:2021:07:RB,MSBDGVSC,Biomasa_300µm_peso_seco,51.7581,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0233-01,CCCP:EXP.PACÍFICO:S03:2021:08:RB,MSBDGVSC,Biomasa_300µm_peso_seco,38.7609,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0237-01,CCCP:EXP.PACÍFICO:G06:2021:09:RB,MSBDGVSC,Biomasa_300µm_peso_seco,75.1023,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0240-01,CCCP:EXP.PACÍFICO:G05:2021:10:RB,MSBDGVSC,Biomasa_300µm_peso_seco,42.2293,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0243-01,CCCP:EXP.PACÍFICO:G04:2021:11:RB,MSBDGVSC,Biomasa_300µm_peso_seco,13.8941,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0246-01,CCCP:EXP.PACÍFICO:G06:2021:12:RB,MSBDGVSC,Biomasa_300µm_peso_seco,5.5469,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0250-01,CCCP:EXP.PACÍFICO:G05:2021:13:RB,MSBDGVSC,Biomasa_300µm_peso_seco,8.4124,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0254-01,CCCP:EXP.PACÍFICO:G04:2021:14:RB,MSBDGVSC,Biomasa_300µm_peso_seco,16.5325,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0258-01,CCCP:EXP.PACÍFICO:G03:2021:15:RB,MSBDGVSC,Biomasa_300µm_peso_seco,33.2545,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0261-01,CCCP:EXP.PACÍFICO:G02:2021:16:RB,MSBDGVSC,Biomasa_300µm_peso_seco,29.9879,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0264-01,CCCP:EXP.PACÍFICO:G01:2021:17:RB,MSBDGVSC,Biomasa_300µm_peso_seco,58.9265,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0267-01,CCCP:EXP.PACÍFICO:G03:2021:18:RB,MSBDGVSC,Biomasa_300µm_peso_seco,19.9031,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0270-01,CCCP:EXP.PACÍFICO:G02:2021:19:RB,MSBDGVSC,Biomasa_300µm_peso_seco,67.9512,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0273-01,CCCP:EXP.PACÍFICO:G01:2021:20:RB,MSBDGVSC,Biomasa_300µm_peso_seco,70.3545,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0276-01,CCCP:EXP.PACÍFICO:A06:2021:21:RB,MSBDGVSC,Biomasa_300µm_peso_seco,6.3897,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0279-01,CCCP:EXP.PACÍFICO:A05:2021:22:RB,MSBDGVSC,Biomasa_300µm_peso_seco,21.4851,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0282-01,CCCP:EXP.PACÍFICO:A04:2021:23:RB,MSBDGVSC,Biomasa_300µm_peso_seco,41.5308,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0285-01,CCCP:EXP.PACÍFICO:A03:2021:24:RB,MSBDGVSC,Biomasa_300µm_peso_seco,7.0527,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0288-01,CCCP:EXP.PACÍFICO:A06:2021:25:RB,MSBDGVSC,Biomasa_300µm_peso_seco,58.7912,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0292-01,CCCP:EXP.PACÍFICO:A05:2021:26:RB,MSBDGVSC,Biomasa_300µm_peso_seco,38.3471,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0296-01,CCCP:EXP.PACÍFICO:A04:2021:27:RB,MSBDGVSC,Biomasa_300µm_peso_seco,2.3386,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0300-01,CCCP:EXP.PACÍFICO:A03:2021:28:RB,MSBDGVSC,Biomasa_300µm_peso_seco,52.5254,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0304-01,CCCP:EXP.PACÍFICO:S02:2021:29:RB,MSBDGVSC,Biomasa_300µm_peso_seco,29.1271,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0307-01,CCCP:EXP.PACÍFICO:S01:2021:30:RB,MSBDGVSC,Biomasa_300µm_peso_seco,2.8848,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0310-01,CCCP:EXP.PACÍFICO:A02:2021:31:RB,MSBDGVSC,Biomasa_300µm_peso_seco,25.8135,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0313-01,CCCP:EXP.PACÍFICO:A01:2021:32:RB,MSBDGVSC,Biomasa_300µm_peso_seco,5.4302,"1,03 x10¯?",g.1000m¯³,2021-11-18,Laura C. Ortiz-Mieles,Balanza Analítica,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
